model,subset,n_correct,n_items,accuracy,parse_rate,backend,method
Qwen/Qwen2.5-7B-Instruct,bigtom,371,400,0.9275,1.0,hf,generative
Qwen/Qwen2.5-7B-Instruct,bigtom|false_belief,185,200,0.925,1.0,hf,generative
Qwen/Qwen2.5-7B-Instruct,bigtom|true_belief,186,200,0.93,1.0,hf,generative
allenai/OLMo-2-1124-7B-Instruct,bigtom,261,400,0.6525,0.9225,hf,generative
allenai/OLMo-2-1124-7B-Instruct,bigtom|false_belief,133,200,0.665,0.86,hf,generative
allenai/OLMo-2-1124-7B-Instruct,bigtom|true_belief,128,200,0.64,0.985,hf,generative
claude-haiku-4-5-20251001,bigtom,381,400,0.9525,1.0,anthropic,generative
claude-haiku-4-5-20251001,bigtom|false_belief,195,200,0.975,1.0,anthropic,generative
claude-haiku-4-5-20251001,bigtom|true_belief,186,200,0.93,1.0,anthropic,generative
claude-opus-4-6,bigtom,394,400,0.985,1.0,anthropic,generative
claude-opus-4-6,bigtom|false_belief,197,200,0.985,1.0,anthropic,generative
claude-opus-4-6,bigtom|true_belief,197,200,0.985,1.0,anthropic,generative
claude-opus-5,bigtom,126,127,0.9921,1.0,anthropic,generative
claude-opus-5,bigtom|false_belief,69,70,0.9857,1.0,anthropic,generative
claude-opus-5,bigtom|true_belief,57,57,1.0,1.0,anthropic,generative
claude-sonnet-4-6,bigtom,376,400,0.94,1.0,anthropic,generative
claude-sonnet-4-6,bigtom|false_belief,198,200,0.99,1.0,anthropic,generative
claude-sonnet-4-6,bigtom|true_belief,178,200,0.89,1.0,anthropic,generative
claude-sonnet-5,bigtom,386,397,0.9723,1.0,anthropic,generative
claude-sonnet-5,bigtom|false_belief,196,199,0.9849,1.0,anthropic,generative
claude-sonnet-5,bigtom|true_belief,190,198,0.9596,1.0,anthropic,generative
gemini-2.5-flash,bigtom,388,400,0.97,1.0,google,generative
gemini-2.5-flash,bigtom|false_belief,196,200,0.98,1.0,google,generative
gemini-2.5-flash,bigtom|true_belief,192,200,0.96,1.0,google,generative
gemini-2.5-pro,bigtom,228,234,0.9744,1.0,google,generative
gemini-2.5-pro,bigtom|false_belief,117,118,0.9915,1.0,google,generative
gemini-2.5-pro,bigtom|true_belief,111,116,0.9569,1.0,google,generative
gemini-3.5-flash,bigtom,386,400,0.965,1.0,google,generative
gemini-3.5-flash,bigtom|false_belief,196,200,0.98,1.0,google,generative
gemini-3.5-flash,bigtom|true_belief,190,200,0.95,1.0,google,generative
gpt-4o-mini,bigtom,366,400,0.915,1.0,openai,generative
gpt-4o-mini,bigtom|false_belief,191,200,0.955,1.0,openai,generative
gpt-4o-mini,bigtom|true_belief,175,200,0.875,1.0,openai,generative
gpt-4o,bigtom,387,400,0.9675,1.0,openai,generative
gpt-4o,bigtom|false_belief,194,200,0.97,1.0,openai,generative
gpt-4o,bigtom|true_belief,193,200,0.965,1.0,openai,generative
gpt-5.4-mini,bigtom,380,400,0.95,1.0,openai,generative
gpt-5.4-mini,bigtom|false_belief,198,200,0.99,1.0,openai,generative
gpt-5.4-mini,bigtom|true_belief,182,200,0.91,1.0,openai,generative
gpt-5.5,bigtom,389,393,0.9898,1.0,openai,generative
gpt-5.5,bigtom|false_belief,197,199,0.9899,1.0,openai,generative
gpt-5.5,bigtom|true_belief,192,194,0.9897,1.0,openai,generative
o3,bigtom,326,329,0.9909,1.0,openai,generative
o3,bigtom|false_belief,169,170,0.9941,1.0,openai,generative
o3,bigtom|true_belief,157,159,0.9874,1.0,openai,generative
o4-mini,bigtom,367,373,0.9839,1.0,openai,generative
o4-mini,bigtom|false_belief,193,194,0.9948,1.0,openai,generative
o4-mini,bigtom|true_belief,174,179,0.9721,1.0,openai,generative
