layer,probe_name,cv_acc,cv_std,chance,n,degenerate
0,intent_noharm,0.5,0.0,0.5,144,True
1,intent_noharm,0.5395,0.0847,0.5,144,False
2,intent_noharm,0.5681,0.0697,0.5,144,False
3,intent_noharm,0.5833,0.0482,0.5,144,False
4,intent_noharm,0.5419,0.041,0.5,144,False
5,intent_noharm,0.5771,0.0423,0.5,144,False
6,intent_noharm,0.5557,0.0285,0.5,144,False
7,intent_noharm,0.541,0.0396,0.5,144,False
8,intent_noharm,0.6186,0.0302,0.5,144,False
9,intent_noharm,0.6114,0.0265,0.5,144,False
10,intent_noharm,0.619,0.0486,0.5,144,False
11,intent_noharm,0.7376,0.0719,0.5,144,False
12,intent_noharm,0.7148,0.0432,0.5,144,False
13,intent_noharm,0.7976,0.0696,0.5,144,False
14,intent_noharm,0.7629,0.0834,0.5,144,False
15,intent_noharm,0.7843,0.089,0.5,144,False
16,intent_noharm,0.8262,0.0636,0.5,144,False
17,intent_noharm,0.8062,0.0311,0.5,144,False
18,intent_noharm,0.8267,0.0703,0.5,144,False
19,intent_noharm,0.8043,0.0815,0.5,144,False
20,intent_noharm,0.7376,0.0908,0.5,144,False
21,intent_noharm,0.7514,0.0617,0.5,144,False
22,intent_noharm,0.7771,0.0392,0.5,144,False
23,intent_noharm,0.7419,0.0647,0.5,144,False
24,intent_noharm,0.7567,0.0623,0.5,144,False
25,intent_noharm,0.7776,0.0413,0.5,144,False
26,intent_noharm,0.7562,0.0882,0.5,144,False
27,intent_noharm,0.7767,0.0411,0.5,144,False
28,intent_noharm,0.75,0.0748,0.5,144,False
0,intent_harm,0.5,0.0,0.5,154,False
1,intent_harm,0.54,0.049,0.5,154,False
2,intent_harm,0.5188,0.049,0.5,154,False
3,intent_harm,0.5829,0.0839,0.5,154,False
4,intent_harm,0.565,0.0422,0.5,154,False
5,intent_harm,0.5508,0.042,0.5,154,False
6,intent_harm,0.5325,0.0538,0.5,154,False
7,intent_harm,0.5525,0.045,0.5,154,False
8,intent_harm,0.5846,0.0268,0.5,154,False
