layer,probe_name,cv_acc,cv_std,chance,n,degenerate
0,intent_noharm,0.5,0.0,0.5,144,True
1,intent_noharm,0.5829,0.0649,0.5,144,False
2,intent_noharm,0.539,0.084,0.5,144,False
3,intent_noharm,0.57,0.0496,0.5,144,False
4,intent_noharm,0.549,0.0424,0.5,144,False
5,intent_noharm,0.5352,0.032,0.5,144,False
6,intent_noharm,0.5429,0.0467,0.5,144,False
7,intent_noharm,0.6167,0.0528,0.5,144,False
8,intent_noharm,0.5981,0.0479,0.5,144,False
9,intent_noharm,0.6252,0.0182,0.5,144,False
10,intent_noharm,0.569,0.0379,0.5,144,False
11,intent_noharm,0.6881,0.0742,0.5,144,False
12,intent_noharm,0.751,0.0397,0.5,144,False
13,intent_noharm,0.8,0.1125,0.5,144,False
14,intent_noharm,0.77,0.1036,0.5,144,False
15,intent_noharm,0.8195,0.0797,0.5,144,False
16,intent_noharm,0.8081,0.0937,0.5,144,False
17,intent_noharm,0.799,0.0485,0.5,144,False
18,intent_noharm,0.8124,0.0793,0.5,144,False
19,intent_noharm,0.7995,0.0759,0.5,144,False
20,intent_noharm,0.7233,0.076,0.5,144,False
21,intent_noharm,0.7571,0.1181,0.5,144,False
22,intent_noharm,0.7633,0.0837,0.5,144,False
23,intent_noharm,0.6871,0.0817,0.5,144,False
24,intent_noharm,0.7838,0.045,0.5,144,False
25,intent_noharm,0.75,0.0676,0.5,144,False
26,intent_noharm,0.7157,0.0733,0.5,144,False
27,intent_noharm,0.7143,0.079,0.5,144,False
28,intent_noharm,0.7024,0.0782,0.5,144,False
0,intent_harm,0.5,0.0,0.5,154,False
1,intent_harm,0.5771,0.0779,0.5,154,False
2,intent_harm,0.5504,0.0889,0.5,154,False
3,intent_harm,0.5821,0.0827,0.5,154,False
4,intent_harm,0.5392,0.0486,0.5,154,False
5,intent_harm,0.5825,0.0668,0.5,154,False
6,intent_harm,0.5258,0.0317,0.5,154,False
7,intent_harm,0.52,0.04,0.5,154,False
8,intent_harm,0.5846,0.0727,0.5,154,False
9,intent_harm,0.5658,0.0366,0.5,154,False
10,intent_harm,0.5721,0.0334,0.5,154,False
11,intent_harm,0.5983,0.0848,0.5,154,False
12,intent_harm,0.6213,0.0731,0.5,154,False
13,intent_harm,0.7,0.072,0.5,154,False
14,intent_harm,0.6937,0.0613,0.5,154,False
15,intent_harm,0.6421,0.0402,0.5,154,False
16,intent_harm,0.6767,0.0439,0.5,154,False
17,intent_harm,0.7029,0.0904,0.5,154,False
18,intent_harm,0.7537,0.0669,0.5,154,False
19,intent_harm,0.7092,0.0598,0.5,154,False
20,intent_harm,0.7096,0.0773,0.5,154,False
21,intent_harm,0.735,0.095,0.5,154,False
22,intent_harm,0.695,0.0635,0.5,154,False
23,intent_harm,0.71,0.0812,0.5,154,False
24,intent_harm,0.7296,0.0848,0.5,154,False
25,intent_harm,0.7087,0.0472,0.5,154,False
26,intent_harm,0.6692,0.0493,0.5,154,False
27,intent_harm,0.6838,0.1081,0.5,154,False
28,intent_harm,0.6183,0.0512,0.5,154,False
0,outcome_innocent,0.5168,0.0149,0.5168,149,True
1,outcome_innocent,0.8331,0.0756,0.5168,149,False
2,outcome_innocent,0.8062,0.0764,0.5168,149,False
3,outcome_innocent,0.9533,0.0452,0.5168,149,False
4,outcome_innocent,0.9331,0.047,0.5168,149,False
5,outcome_innocent,0.8998,0.0418,0.5168,149,False
6,outcome_innocent,0.9262,0.0248,0.5168,149,False
7,outcome_innocent,0.9326,0.0372,0.5168,149,False
8,outcome_innocent,0.9867,0.0163,0.5168,149,False
9,outcome_innocent,0.9933,0.0133,0.5168,149,False
10,outcome_innocent,0.9933,0.0133,0.5168,149,False
11,outcome_innocent,0.9933,0.0133,0.5168,149,False
12,outcome_innocent,0.9933,0.0133,0.5168,149,False
13,outcome_innocent,0.9933,0.0133,0.5168,149,False
14,outcome_innocent,0.9933,0.0133,0.5168,149,False
15,outcome_innocent,0.9933,0.0133,0.5168,149,False
16,outcome_innocent,0.9933,0.0133,0.5168,149,False
17,outcome_innocent,0.9933,0.0133,0.5168,149,False
18,outcome_innocent,1.0,0.0,0.5168,149,False
19,outcome_innocent,1.0,0.0,0.5168,149,False
20,outcome_innocent,0.9933,0.0133,0.5168,149,False
21,outcome_innocent,0.9933,0.0133,0.5168,149,False
22,outcome_innocent,0.9933,0.0133,0.5168,149,False
23,outcome_innocent,0.9933,0.0133,0.5168,149,False
24,outcome_innocent,0.9867,0.0267,0.5168,149,False
25,outcome_innocent,0.9933,0.0133,0.5168,149,False
26,outcome_innocent,0.9933,0.0133,0.5168,149,False
27,outcome_innocent,0.9933,0.0133,0.5168,149,False
28,outcome_innocent,0.98,0.0267,0.5168,149,False
0,outcome_guilty,0.5168,0.0149,0.5168,149,False
1,outcome_guilty,0.8464,0.0649,0.5168,149,False
2,outcome_guilty,0.826,0.0431,0.5168,149,False
3,outcome_guilty,0.8933,0.0772,0.5168,149,False
4,outcome_guilty,0.8998,0.0361,0.5168,149,False
5,outcome_guilty,0.9129,0.0158,0.5168,149,False
6,outcome_guilty,0.8998,0.0361,0.5168,149,False
7,outcome_guilty,0.9533,0.04,0.5168,149,False
8,outcome_guilty,0.9267,0.0646,0.5168,149,False
9,outcome_guilty,0.9933,0.0133,0.5168,149,False
10,outcome_guilty,0.9733,0.0389,0.5168,149,False
11,outcome_guilty,0.9933,0.0133,0.5168,149,False
12,outcome_guilty,0.9933,0.0133,0.5168,149,False
13,outcome_guilty,0.9867,0.0163,0.5168,149,False
14,outcome_guilty,0.9933,0.0133,0.5168,149,False
15,outcome_guilty,0.9933,0.0133,0.5168,149,False
16,outcome_guilty,0.9933,0.0133,0.5168,149,False
17,outcome_guilty,1.0,0.0,0.5168,149,False
18,outcome_guilty,1.0,0.0,0.5168,149,False
19,outcome_guilty,1.0,0.0,0.5168,149,False
20,outcome_guilty,0.9933,0.0133,0.5168,149,False
21,outcome_guilty,0.9867,0.0267,0.5168,149,False
22,outcome_guilty,0.9933,0.0133,0.5168,149,False
23,outcome_guilty,0.9933,0.0133,0.5168,149,False
24,outcome_guilty,0.9733,0.0389,0.5168,149,False
25,outcome_guilty,0.98,0.04,0.5168,149,False
26,outcome_guilty,0.98,0.04,0.5168,149,False
27,outcome_guilty,0.9667,0.0422,0.5168,149,False
28,outcome_guilty,0.98,0.04,0.5168,149,False
